left read, left timestamp, right read, right timestamp
434,22928,420,22948
440,22976,430,22992
434,23020,439,23036
428,23064,447,23080
415,23108,455,23124
408,23152,456,23168
391,23196,449,23212
377,23240,440,23256
353,23284,427,23300
329,23328,412,23344
303,23372,397,23388
285,23416,381,23432
271,23460,360,23476
263,23504,339,23520
254,23548,313,23572
246,23596,300,23616
247,23640,287,23660
253,23684,284,23704
269,23728,276,23748
286,23772,273,23792
308,23816,272,23836
326,23860,280,23880
344,23904,289,23924
359,23948,303,23968
377,23992,315,24012
389,24036,323,24056
401,24080,331,24100
406,24124,339,24144
411,24168,350,24188
408,24212,359,24232
406,24256,365,24276
398,24300,366,24320
388,24344,364,24364
376,24388,359,24408
367,24432,358,24452
357,24476,353,24496
350,24520,352,24540
342,24564,350,24584
333,24608,351,24628
327,24652,350,24672
319,24696,353,24716
317,24740,353,24760
313,24784,357,24804
313,24828,359,24848
310,24872,364,24892
309,24916,368,24936
305,24960,369,24980
305,25004,366,25024
304,25048,364,25068
305,25092,355,25112
304,25136,350,25156
307,25180,339,25200
304,25224,331,25244
307,25268,319,25288
307,25312,307,25332
315,25356,295,25376
318,25400,287,25420
327,25444,280,25464
334,25488,280,25508
344,25532,280,25552
353,25576,283,25596
366,25628,291,25644
381,25672,299,25688
398,25716,313,25732
415,25760,327,25776
420,25804,344,25820
423,25848,361,25864
424,25892,385,25908
428,25936,408,25952
426,25980,425,25996
423,26024,433,26040
408,26068,441,26084
388,26112,446,26128
365,26156,449,26172
344,26200,448,26216
319,26244,436,26260
301,26288,418,26304
280,26332,396,26348
260,26376,369,26392
238,26420,342,26436
227,26464,319,26480
225,26508,302,26524
231,26552,281,26568
241,26596,258,26612
255,26644,241,26664
273,26688,233,26708
293,26732,239,26752
321,26776,246,26796
344,26820,260,26840
369,26864,271,26884
387,26908,287,26928
405,26952,305,26972
412,26996,327,27016
419,27040,343,27060
415,27084,356,27104
411,27128,369,27148
397,27172,376,27192
380,27216,376,27236
358,27260,368,27280
335,27304,358,27324
315,27348,344,27368
297,27392,332,27412
280,27436,318,27456
263,27480,304,27500
252,27524,288,27544
248,27568,280,27588
248,27612,270,27632
254,27656,266,27676
263,27700,265,27720
275,27744,273,27764
287,27788,280,27808
302,27832,292,27852
321,27876,304,27896
336,27920,319,27940
352,27964,327,27984
358,28008,343,28028
361,28052,348,28072
359,28096,355,28116
359,28140,355,28160
353,28184,351,28204
350,28228,339,28248
337,28272,327,28292
326,28316,316,28336
310,28360,304,28380
303,28404,289,28424
295,28448,275,28468
295,28492,263,28512
294,28536,252,28556
295,28580,246,28600
298,28624,246,28644
307,28668,254,28692
323,28720,263,28736
339,28764,282,28780
361,28808,297,28824
377,28852,319,28868
391,28896,337,28912
403,28940,359,28956
420,28984,380,29000
432,29028,403,29044
445,29072,420,29088
448,29116,436,29132
441,29160,448,29176
429,29204,455,29220
415,29248,460,29264
399,29292,460,29308
385,29336,453,29352
364,29380,440,29396
340,29424,425,29440
311,29468,408,29484
287,29512,389,29528
268,29556,368,29572
254,29600,345,29616
243,29644,320,29660
236,29688,300,29704
231,29732,284,29748
233,29776,276,29792
244,29820,268,29836
262,29864,265,29880
284,29908,263,29924
304,29952,269,29968
323,29996,275,30012
339,30040,291,30056
363,30084,304,30100
382,30128,319,30144
400,30172,328,30188
408,30216,340,30232
415,30260,348,30276
414,30304,359,30320
415,30348,368,30364
412,30392,373,30408
410,30436,374,30452
399,30480,372,30496
390,30524,369,30540
376,30568,368,30584
368,30612,364,30628
359,30656,361,30672
353,30700,359,30716
346,30748,359,30768
335,30792,364,30812
330,30836,365,30856
